timestamp,open,high,low,close,volume
2024-01-01 00:00:00,40000.0,40045.27,39974.09,40039.74,662535.72
2024-01-01 00:15:00,40039.74,40172.91,39999.28,40161.7,1244871.19
2024-01-01 00:30:00,40161.7,40183.49,40105.4,40123.99,811793.67
2024-01-01 00:45:00,40123.99,40228.82,40048.52,40086.62,798599.12
2024-01-01 01:00:00,40086.62,40099.21,39969.09,40005.41,975436.73
2024-01-01 01:15:00,40005.41,40030.6,39868.57,39892.42,1042882.58
2024-01-01 01:30:00,39892.42,39896.84,39803.12,39848.98,571203.68
2024-01-01 01:45:00,39848.98,39902.86,39811.23,39878.92,602163.0
2024-01-01 02:00:00,39878.92,39952.79,39830.4,39830.93,540819.42
2024-01-01 02:15:00,39830.93,39840.07,39731.2,39746.67,1187114.53
2024-01-01 02:30:00,39746.67,39841.2,39693.88,39763.28,1475723.48
2024-01-01 02:45:00,39763.28,39787.63,39728.22,39778.93,1427472.47
2024-01-01 03:00:00,39778.93,39790.91,39710.93,39769.73,1331810.83
2024-01-01 03:15:00,39769.73,39823.29,39677.51,39712.48,1057707.66
2024-01-01 03:30:00,39712.48,39753.52,39685.59,39738.22,508798.75
2024-01-01 03:45:00,39738.22,39809.99,39702.94,39786.83,1244042.26
2024-01-01 04:00:00,39786.83,39799.13,39706.89,39720.05,844844.11
2024-01-01 04:15:00,39720.05,39804.62,39703.75,39797.55,841283.39
2024-01-01 04:30:00,39797.55,39916.28,39794.68,39862.22,629662.97
2024-01-01 04:45:00,39862.22,39981.09,39830.51,39942.23,1082577.73
2024-01-01 05:00:00,39942.23,40004.72,39834.73,39939.37,525795.6
2024-01-01 05:15:00,39939.37,40061.78,39897.73,40005.02,1025149.63
2024-01-01 05:30:00,40005.02,40019.3,39928.35,39987.44,732000.09
2024-01-01 05:45:00,39987.44,39995.93,39928.94,39945.99,668075.11
2024-01-01 06:00:00,39945.99,40032.28,39924.83,40019.13,1418054.03
2024-01-01 06:15:00,40019.13,40115.17,40012.1,40060.21,1410422.66
2024-01-01 06:30:00,40060.21,40073.33,39988.27,40003.96,1336521.09
2024-01-01 06:45:00,40003.96,40110.18,39873.08,39886.87,743244.12
2024-01-01 07:00:00,39886.87,39918.87,39853.1,39859.53,1025773.71
2024-01-01 07:15:00,39859.53,39929.36,39803.57,39891.74,1483675.58
2024-01-01 07:30:00,39891.74,39892.79,39736.26,39738.65,572641.98
2024-01-01 07:45:00,39738.65,39953.5,39728.36,39934.42,775996.29
2024-01-01 08:00:00,39934.42,39981.09,39886.02,39931.65,738149.64
2024-01-01 08:15:00,39931.65,40023.77,39876.38,39991.7,1149334.19
2024-01-01 08:30:00,39991.7,40126.34,39952.09,40038.64,547122.3
2024-01-01 08:45:00,40038.64,40106.97,39958.36,39993.29,522438.68
2024-01-01 09:00:00,39993.29,39996.04,39826.91,39869.26,1227872.61
2024-01-01 09:15:00,39869.26,39931.79,39862.84,39907.02,643559.45
2024-01-01 09:30:00,39907.02,39919.88,39812.1,39844.51,1337856.57
2024-01-01 09:45:00,39844.51,39898.85,39645.5,39746.42,760114.68
2024-01-01 10:00:00,39746.42,39798.17,39697.26,39767.08,1232327.77
2024-01-01 10:15:00,39767.08,39791.64,39613.79,39662.06,599566.59
2024-01-01 10:30:00,39662.06,39713.66,39588.06,39685.31,1158713.42
2024-01-01 10:45:00,39685.31,39752.09,39647.43,39722.92,744235.75
2024-01-01 11:00:00,39722.92,39847.64,39684.65,39814.96,1184437.0
2024-01-01 11:15:00,39814.96,39882.41,39809.16,39847.83,874879.33
2024-01-01 11:30:00,39847.83,39880.34,39773.88,39776.94,1416811.47
2024-01-01 11:45:00,39776.94,39852.22,39755.54,39804.08,1009478.13
2024-01-01 12:00:00,39804.08,39912.36,39758.12,39783.01,784905.1
2024-01-01 12:15:00,39783.01,39784.68,39709.36,39714.81,688718.49
2024-01-01 12:30:00,39714.81,39743.17,39505.97,39524.67,1533693.74
2024-01-01 12:45:00,39524.67,39542.55,39352.47,39383.07,916807.52
2024-01-01 13:00:00,39383.07,39416.8,39115.86,39124.24,1530540.58
2024-01-01 13:15:00,39124.24,39148.89,38548.88,38616.96,674605.86
2024-01-01 13:30:00,38616.96,38661.09,38505.31,38519.09,1227352.07
2024-01-01 13:45:00,38519.09,38613.33,38465.85,38576.34,805386.81
2024-01-01 14:00:00,38576.34,38639.4,38556.47,38619.55,1312839.75
2024-01-01 14:15:00,38619.55,39746.85,38581.39,39694.02,1656306.19
2024-01-01 14:30:00,39694.02,39724.15,39444.32,39474.83,1137824.43
2024-01-01 14:45:00,39474.83,39476.39,39260.61,39281.61,1093677.39
2024-01-01 15:00:00,39281.61,39442.94,39263.08,39379.43,642674.83
2024-01-01 15:15:00,39379.43,39666.15,39374.37,39604.35,756705.9
